gold_char,pred_char,count
ा,<eps>,1374
्,<eps>,843
<eps>,ा,600
़,<eps>,390
<eps>,्,362
ट,त,360
ी,ि,320
ड,द,259
<eps>,े,257
न,ं,207
ू,ु,204
ि,ी,149
य,<eps>,135
ॉ,ो,127
<eps>,़,120
द,ड,118
े,<eps>,114
ं,न,102
ं,<eps>,101
त,ट,97
<eps>,ए,93
ू,<eps>,77
ट,<eps>,77
<eps>,ु,72
<eps>,ं,72
ल,<eps>,66
ः,ह,64
न,<eps>,64
ु,ू,63
त,<eps>,63
<eps>,ो,63
<eps>,य,62
<eps>,ी,61
इ,<eps>,60
ढ,ध,59
आ,अ,58
<eps>,ि,57
ए,<eps>,56
ै,े,56
<eps>,र,55
ठ,थ,54
ी,े,52
ा,ै,52
ा,ि,51
ड,<eps>,50
<eps>,न,49
<eps>,इ,49
ए,अ,48
<eps>,त,47
र,<eps>,47
े,ै,47
<eps>,ल,44
<eps>,ई,43
ं,म,42
ी,<eps>,41
<eps>,स,41
ऑ,ओ,40
ा,ो,40
ै,<eps>,40
श,ष,39
<eps>,व,39
ण,न,39
न,ण,38
ए,य,38
ं,ँ,37
ि,<eps>,36
<eps>,ह,36
ि,ा,36
स,<eps>,35
<eps>,आ,35
ष,श,34
ई,<eps>,33
ै,ा,33
े,ा,32
इ,ए,31
्,ी,31
ड,ध,30
ा,ौ,30
द,<eps>,30
ँ,ं,29
<eps>,ट,29
ड,व,29
<eps>,ड,28
ि,े,27
न,ो,27
ज,ग,26
ब,ी,26
्,े,26
ण,ं,25
ा,न,25
ऐ,ए,25
ो,<eps>,25
ह,<eps>,23
्,ु,23
ण,<eps>,23
<eps>,ू,23
श,स,23
<eps>,क,21
ृ,्,21
े,ी,21
ा,त,21
ा,े,20
ॅ,<eps>,20
व,<eps>,20
ए,े,20
ड,र,20
<eps>,द,19
ग,घ,19
<eps>,म,19
<eps>,ै,18
ः,ा,18
ा,ॉ,17
ई,इ,17
द,ध,17
इ,ई,17
ॉ,ा,17
ौ,ो,17
ज,<eps>,17
उ,<eps>,16
झ,ज,16
थ,ठ,16
<eps>,ग,16
ई,ए,16
क,<eps>,16
ो,न,16
न,ा,15
़,्,15
्,ृ,15
छ,च,15
ी,ा,15
ा,य,15
ज,स,15
े,ि,15
ब,<eps>,14
ा,ट,14
आ,<eps>,14
