gold_char,pred_char,count
ा,<eps>,852
<eps>,ा,779
्,<eps>,572
<eps>,्,404
़,<eps>,337
ी,ि,246
ं,न,194
ि,ी,193
ट,त,192
<eps>,े,185
ू,ु,172
ड,द,144
त,ट,138
<eps>,़,121
य,<eps>,114
े,<eps>,114
न,ं,112
ॉ,ो,111
ं,<eps>,107
द,ड,95
<eps>,न,79
ै,े,69
ं,ँ,68
<eps>,र,68
ू,<eps>,67
<eps>,ए,67
<eps>,स,62
ण,न,62
े,ै,62
<eps>,ी,61
ल,<eps>,58
ु,ू,58
ा,ै,56
<eps>,ट,54
त,<eps>,53
<eps>,ु,53
<eps>,इ,52
ए,<eps>,51
<eps>,ल,51
<eps>,ो,49
<eps>,य,48
र,<eps>,48
न,<eps>,47
ठ,थ,46
ः,ह,45
ि,<eps>,44
<eps>,ै,44
<eps>,ि,44
<eps>,ं,43
ट,<eps>,42
<eps>,त,41
ड,<eps>,40
ी,<eps>,40
ा,ो,40
ढ,ध,39
आ,अ,38
<eps>,म,37
ी,े,37
इ,<eps>,37
<eps>,ग,36
ि,ा,36
<eps>,व,35
े,ा,35
<eps>,ई,35
द,<eps>,34
ऑ,ओ,34
ई,<eps>,34
<eps>,क,34
स,<eps>,33
ं,म,33
<eps>,ड,32
<eps>,ह,32
ष,श,30
न,ण,30
ए,य,30
ो,<eps>,28
ई,इ,28
ऐ,ए,28
्,ी,27
ा,न,26
ा,े,26
ै,ा,26
अ,ए,26
<eps>,आ,26
ँ,ं,25
ह,<eps>,25
ा,ि,25
व,<eps>,25
ॉ,ा,25
<eps>,ू,24
<eps>,प,24
ए,अ,24
श,ष,23
े,ी,23
ै,<eps>,23
ड,व,22
ड,ध,22
ौ,ो,22
ॅ,<eps>,21
ड,र,20
ब,ी,19
ब,<eps>,19
आ,<eps>,19
ा,ॉ,19
ः,ा,19
ु,<eps>,19
ण,ं,18
ज,ग,18
<eps>,ज,18
अ,आ,18
झ,ज,17
<eps>,ध,17
्,ु,17
़,ा,17
श,स,17
ा,ौ,16
<eps>,द,16
ा,ी,16
ण,<eps>,16
स,ज,15
ं,ा,15
द,ध,15
ि,े,15
ृ,्,15
ग,घ,15
थ,ठ,15
म,<eps>,15
ो,न,15
ड,ढ,14
ज,<eps>,14
<eps>,ब,14
े,्,14
<eps>,फ,14
क,<eps>,14
ो,ॉ,14
ज,स,14
ऑ,आ,13
े,ि,13
ए,इ,13
श,<eps>,13
ा,र,13
ग,<eps>,13
छ,च,13
ु,ो,13
उ,<eps>,12
ऊ,उ,12
न,ा,12
इ,ए,12
द,्,11
त,्,11
ड,ा,11
्,ल,11
न,ो,11
<eps>,ओ,11
ा,त,11
़,्,10
्,स,10
ी,ा,10
इ,ई,10
च,<eps>,10
ा,ल,10
म,ं,10
ई,ए,10
स,श,10
ा,ए,10
<eps>,च,9
ं,ण,9
उ,ऊ,9
य,ए,9
ज,झ,9
्,म,9
र,ा,9
ए,े,9
ा,ट,9
प,<eps>,9
्,ब,9
<eps>,श,9
्,े,9
क,ख,8
ः,<eps>,8
अ,य,8
<eps>,थ,8
त,ा,8
ू,ो,8
्,न,8
ई,य,8
्,र,8
ा,्,8
ो,ा,8
त,थ,8
आ,ए,7
आ,ा,7
ष,स,7
्,ड,7
ॉ,<eps>,7
ट,्,7
ा,प,7
ा,द,7
ध,ढ,7
ा,ं,7
्,त,7
ग,ज,7
्,ृ,7
ढ,<eps>,7
ा,य,7
ण,ा,7
ा,स,7
य,ई,7
ठ,<eps>,7
ष,<eps>,7
्,श,6
<eps>,उ,6
उ,य,6
ा,़,6
ी,्,6
्,ं,6
द,ा,6
व,ओ,6
्,ा,6
ि,न,6
च,क,6
न,ँ,6
य,इ,6
क,स,6
फ,<eps>,6
्,ए,6
ू,ा,6
इ,य,6
ख,क,6
ब,भ,5
ं,्,5
ऊ,<eps>,5
ि,ष,5
य,उ,5
ट,ा,5
स,ा,5
्,ै,5
ध,द,5
घ,ध,5
ो,ग,5
ो,ी,5
य,ा,5
अ,<eps>,5
ु,्,5
ा,च,5
ॉ,ौ,5
े,न,5
़,ु,5
ा,ब,5
क,च,5
ो,ौ,5
ए,ई,4
ठ,ा,4
ो,ट,4
य,ै,4
<eps>,ृ,4
<eps>,ण,4
्,़,4
श,्,4
़,ध,4
अ,ा,4
व,ा,4
ू,्,4
़,द,4
ई,ी,4
ा,म,4
व,र,4
़,क,4
य,व,4
ए,ी,4
ि,ल,4
स,्,4
्,क,4
़,ि,4
त,ल,4
ँ,<eps>,4
ा,ण,4
उ,ौ,4
ं,े,4
ऊ,ु,4
ल,व,4
<eps>,ँ,4
ं,ो,4
्,द,4
ओ,ो,4
श,च,4
ध,<eps>,4
ऋ,र,4
आ,ओ,4
ो,स,4
्,ि,4
ै,ी,4
ू,े,4
ौ,ॉ,4
ि,आ,4
ा,ज,4
<eps>,अ,3
ो,प,3
ी,व,3
र,्,3
ा,श,3
ऑ,अ,3
आ,इ,3
र,ऋ,3
आ,य,3
ए,ऐ,3
ा,ष,3
च,छ,3
ह,ा,3
औ,आ,3
इ,ै,3
य,त,3
ऐ,े,3
ख,<eps>,3
़,फ,3
्,ग,3
्,ज,3
ऩ,न,3
े,प,3
ओ,व,3
स,व,3
ा,ग,3
ू,़,3
ो,े,3
ल,ा,3
ा,व,3
ई,ै,3
़,ो,3
ौ,<eps>,3
ी,़,3
ई,ा,3
ि,्,3
ा,ड,3
अ,उ,3
ट,ु,3
य,ट,3
य,न,3
य,ओ,3
ध,ड,3
ा,थ,3
ड,्,3
त,ठ,3
भ,ब,3
क,ई,3
व,य,3
य,ज,3
र,ृ,3
ट,ठ,3
क,श,3
ा,ढ,3
ध,़,3
ब,े,2
अ,ओ,2
ॅ,ो,2
ऊ,औ,2
़,ब,2
इ,ि,2
ए,ज,2
<eps>,ष,2
त,प,2
ग,ह,2
व,क,2
व,आ,2
त,र,2
ढ,ा,2
ो,ू,2
ओ,<eps>,2
ऑ,ए,2
ण,्,2
ॊ,ो,2
ए,ै,2
ि,ु,2
ू,ी,2
ग,े,2
ज,्,2
ऑ,ो,2
ि,़,2
य,म,2
ॉ,ं,2
ौ,ा,2
े,ब,2
य,र,2
़,ी,2
प,स,2
ं,ग,2
़,ल,2
ू,ौ,2
त,इ,2
ञ,ं,2
ँ,म,2
ण,द,2
ज,ल,2
़,ड,2
ी,ो,2
<eps>,ढ,2
ओ,य,2
ा,इ,2
ष,ा,2
्,प,2
्,झ,2
ऑ,औ,2
े,ज,2
ए,ा,2
ः,ल,2
ऊ,ओ,2
ई,ि,2
न,्,2
ृ,र,2
ु,ज,2
ी,ल,2
घ,ग,2
ँ,न,2
ॅ,ै,2
त,ी,2
श,ज,2
ष,ु,2
स,य,2
च,ट,2
य,आ,2
ॉ,ी,2
ु,व,2
ल,म,2
े,ह,2
े,ल,2
न,य,2
े,ो,2
े,ु,2
ी,स,2
म,ह,2
क,फ,2
व,ग,2
य,ं,2
स,ट,2
ए,आ,2
ै,र,2
ै,द,2
ज,ड,2
ए,व,2
द,ो,2
ि,ट,2
द,ए,2
ु,थ,2
